label,sublabel,description,styles,bgcolor
燃やせるごみ,,,,#4876af
燃やせないごみ,,,,#f75250
空き缶,,,,#82c66a
空きびん,,,,#ffce5e
ペットボトル,,,,#ff7e18
白色トレイ・発泡スチロール,,,,#ddddda
紙パック・新聞・雑誌・段ボール,,,,#7e4124
その他の紙類,,,,#4f712e
その他のプラスチック,,,,#ba88bd
可燃粗大ごみ,,,,#ae911d
不燃粗大ごみ,,,,#494849
